emis_key,school_name
700132340,gp Johannesburg Hospital School
700400582,gp Matlapeng Primary School
700311282,gp Thembelihle Primary School
700160895,gp Die President Primary School
700152132,gp Gordon Primary School
700141085,gp Tshireletso Primary School
700331918,gp Stretford Ext 8 Primary School
700210823,gp Tygerpoort Primary School
700003976,gp Lebohang Special School
700241091,gp Phuthanang Primary School
700251272,gp Bottom Primary Mine Primary School
700141127,gp Tumang Primary School
700270918,gp Matlapaneng Primary School
700341156,gp Reahile Primary School
700321711,gp Ubuhle Primary School (VANDERBILPARK)
700250621,gp Die Ruiter Primary School
700341107,gp Magagula Primary School
700211458,gp Knoppiesfontein Farm Primary School
700121699,gp Phakamani Primary School
700260752,gp Entshonalanga Primary School
700330811,gp Duzenendlela Farm Primary School
700320705,gp Khunoana Primary School
700260026,gp Birch Acres Primary School
700321315,gp Qhoweng Primary School
700400205,gp Drake Koka Primary School
700331124,gp Panfontein Primary School
700111138,gp Nhluvuko Primary School
700400351,gp Phomolong 2 Primary School
700250704,gp Helderkruin Primary School
700110239,gp Libra Primary School
700400209,gp Lehae Primary School
700270801,gp Kamohelo Public Combined School
700910876,gp Lesego Primary School (GA-RANKUWA)
700160986,gp Oosterkruin Primary School
700320804,gp Lefika Primary School
700250159,gp Florida Combined School
700340695,gp Izibuko Primary School
700150011,gp Allanridge Combined School
700311191,gp Khombindlela Primary School
700260729,gp Emmangweni Primary School
700911807,gp Reimolotswe Primary School
700400085,gp Langalibalele Dube Primary School
700350017,gp Alrapark Primary School
130377,gp Forest Town Special School
700911446,gp Motshegofadiwa Primary School
700110106,gp Greyville Primary School
700330415,gp Republiek Primary School
700211706,gp Thereso Farm Primary School
700241042,gp Onderstepoort Primary School
700140533,gp Giyani Primary School
700911001,gp Mahlwareng Primary School
700320366,gp Botlehadi Primary School
700220558,gp Bohlabatsatsi Primary School (MAMELODI)
700241620,gp Kameelfontein Primary School
700330902,gp Kgomoco Primary School
700140269,gp Jim Fouche Primary School
700210047,gp Brooklyn Primary School
700915064,gp Bachana Mokwena Primary School
700210021,gp Bronkhorstspruit Primary School
700121616,gp Mxolisi Primary School
700312083,gp Sazakhela Primary School
700140103,gp Riverlea Primary School
700160010,gp Drommedaris Primary School
700211649,gp Sedibeng Primary School (CULLINAN)
700911225,gp Mmamotse Primary School
700311571,gp Tsakane Primary School
700160655,gp Hurlyvale Primary School
700110205,gp Madiba Combined School
700400237,gp Reshomile Primary School
700351064,gp Sechaba Primary School
700330332,gp De Deur Primary School
700121228,gp Batsogile Primary School
700121319,gp Entandweni Primary School
103-937 NPO,gp Tebogo Special School
700321224,gp Phahamang Primary School
700260323,gp Birchleigh Primary School
700111088,gp Moriting Primary School (SOWETO)
700271049,gp Seatile Primary School
700350702,gp Fred Habedi Primary School
700321265,gp Phuthulla Primary School
700140905,gp Rishile Primary School
700342056,gp Ratanda Primary School
700260430,gp van Riebeeck Park Primary School
700331637,gp Orange Farm Primary School
700121335,gp Faresani Primary School
700152851,gp Rabasotho Combined School
700241810,gp Bokamoso Primary School
700141093,gp Tsogang Primary School
700251025,gp Silverfields Primary School
700121434,gp Jabavu East Primary School
700260943,gp Isiziba Primary School
700400264,gp Sibekiwe Primary School
700251546,gp Kwaggafontein Farm Primary School
700130286,gp Ep Bauman Primary School
700132928,gp Makola Primary School
700311027,gp Ekukhanyeni Primary School
700342064,gp Greenfields Primary School
700161513,gp Sunnyridge Primary School
700130310,gp Emmarentia Primary School
700120865,gp Naturena Primary School
700331512,gp Vulindlela Primary School
700400031,gp Chief Bambata Primary School
700160960,gp Leondale Parallel Medium Primary School
700331108,gp Nomini Primary School
700310896,gp Baikagetse Primary School
700934044,gp Retlile Primary School
700120063,gp Eldocrest Primary School
700400397,gp Doornpoort Primary School
700111435,gp Impumelelo Junior Primary School
700150920,gp Lyndhurst Primary School
700330423,gp Risiville Primary School
700910574,gp Itseng Primary School
700240804,gp Khensani Primary School
700110312,gp Sharicrest Primary School (SOWETO)
700310508,gp Kommando Primary School
700130443,gp Greenside Primary School
700330399,gp Japie Greyling Primary School
700311175,gp Kgalema Primary School
700210757,gp Menlopark Primary School
700400110,gp Leema-Mokotuli Primary School
700111542,gp Odinpark Primary School
700320473,gp Elite Primary School
700120782,gp WH Coetzer Primary School
700110478,gp Mondeor Primary School
00900BS,gp Modimo O Moholo Special School
700261040,gp Mashemong Primary School
700140889,gp Qhobosheane Primary School
700252841,gp Patrick Mashego Primary School
700910314,gp Ditshaba Primary School
700321331,gp Letsema-ilima Primary School
700321596,gp Tlholo Primary School
700330837,gp Emmanuel Primary School
700130989,gp Melpark Primary School
700120121,gp Firethorn Primary School
700270983,gp Nayaboswa Primary School
700252023,gp Tsholetsega Public Primary School
700110395,gp Glenanda Primary School
700911115,gp Marotola Primary School
700311654,gp Vuyani Primary School
700151415,gp Robin Hills Primary School
700241125,gp Pulamadibogo Primary School
700321489,gp Sivuse Primary School
700220590,gp Dr Im Monare Primary School
700132290,gp Isiseko Primary School
700331249,gp Refalletse Primary School
700240374,gp Northridge Primary School
700111526,gp Zakariyya Park Combined School
700350348,gp Werda Primary School
700151456,gp Rosebank Primary School
700110726,gp Hitekani Primary School
700211482,gp Lucky Farm Primary School
700240291,gp Magalieskruin Primary School
700341271,gp Sithokomele Primary School
700240556,gp Baxoxele Primary School
700160929,gp Elspark Primary School
700230011,gp Andrew Anthony Primary School
700321208,gp Ntsele Primary School
700271056,gp Sedimosang Primary School
700140418,gp Bopanang Primary School
700320507,gp Emanzini Primary School
700911946,gp Selang Primary School
700320440,gp Dr Nhlapo Primary School
700111070,gp Montshiwa Primary School
700161695,gp Bopang-Kgotso Primary School
700330324,gp DF Malherbe Primary School
700341081,gp Phumelela Combined School
700133132,gp Thembalihle Primary School
700331082,gp Moyisela Primary School
700910926,gp Loratong Primary School
700251355,gp Dsj Primary School
700110551,gp Basani Primary School
700260406,gp Kruinsig Primary School
700270322,gp Avante Primary School
700911626,gp Phalesane Primary School
700230086,gp Omar HS Ebrahim Lotus Gardens Primary School
700220731,gp Kutumela-Molefi Intermediate Farm Primary School
700270389,gp Venterspos Primary School
700925413,gp Hlolisisa Primary School
700160200,gp Bedfordview Primary School
700220434,gp Loreto Primary School
700140483,gp Emelang Primary School
700271031,gp Rooipoort Farm Combined School
700121350,gp Hlakaniphani Primary School
700271163,gp Kamogelo Primary School
700241380,gp Tiamoko Primary School
700160978,gp M W De Wet Primary School
700140798,gp Mawila Primary School
700341164,gp Manzini Primary School
700252221,gp Roodepoort Primary School
700110957,gp Luyolo Primary School
700270058,gp Danie Theron Primary School (CARLETONVILLE)
700930749,gp Kokosi Primary School
700320630,gp Itsebeng Primary School
700110684,gp Ezibukweni Primary School
700320978,gp Mfundo-Mtoti Primary School
700210633,gp Anton van Wouw Primary School
700260893,gp Inxiweni Primary School
700140541,gp Hlabangane Primary School
700111393,gp Tiakeni Primary School
700310532,gp Die Arend Primary School
700351031,gp Roseview Primary School
700310888,gp Bafo Chiko Primary School
700311605,gp Umnyezane Primary School
700221176,gp Uoane Primary School
700340299,gp President Steyn Primary School
700331603,gp Intlonipho Primary School
700911638,gp Philemon Montsho Primary School
700231563,gp Bud Mbelle Primary School
700140640,gp Khomanani Primary School
700340042,gp Stoneridge Primary School
700340380,gp Abram Hlophe Primary School
700161026,gp Alston Primary School
700250605,gp Bekker Primary School
700141044,gp Tlhokomelo Primary School
700910822,gp Lebelo Primary School
700160911,gp Elsburg Combined School
700131805,gp Ab Xuma Primary School
700121467,gp Kholwani Primary School
700330712,gp Lesedi La Kreste Anglican Primary School
700321927,gp Dinokeng Farm Primary School
700911798,gp Refilwe Primary School
700241133,gp Raikana Primary School
700270793,gp Isiqalo Primary School
700311183,gp Kgothalong Primary School
700911067,gp Manamelong Primary School
700241224,gp Rs Maluleke Primary School
700132936,gp Shalom-Manne Primary School
700310177,gp Benoni Junior Primary School
700400702,gp Evaton West Primary School
700350801,gp Khangezile Primary School
700911950,gp Selelo Primary School
700133355,gp Crown Reef Primary School
700330936,gp Lehlasedi Primary School
700931778,gp Reakgona Primary School
700140822,gp Tsietsi Mashinini Primary School
700351338,gp Vukucinge Farm Primary School
700341131,gp Qhaqholla Combined School
700311084,gp Gugulesizwe Primary School
700231662,gp Esikhisini Primary School
700320523,gp Fadimeha Primary School
700110981,gp Finetown Primary School
700162305,gp Windmill Park Primary School
700350306,gp PAM Brink Primary School
700110122,gp Impala Crescent Primary School
700111914,gp Tholimfundo Primary School
700230987,gp Saamspan Primary School
700211367,gp Ematsheni Farm Primary School
700141135,gp Tumelo Primary School
700310128,gp Arbor Primary School
700231878,gp Mabafeng Primary School
700161059,gp Martin Primary School
700251520,gp Khululekani Primary School
700932347,gp Xhobani Primary School
700321695,gp Tsokolibane Primary School
700400399,gp Sedi Laka Primary School
700140228,gp Claremont Primary School
700111161,gp Phumuzile Primary School
700211870,gp Hennopspark Primary School
700231530,gp Bathokwa Primary School
700110031,gp Lawley Primary School
700120543,gp Highveld Primary School
700230045,gp Jacaranda Primary School
700271155,gp Tswelelo Primary School
700320879,gp Maboelleng Primary School
700130542,gp Houghton Primary School
700252784,gp Thuthuzekani Primary School
700340034,gp Opelweg Primary School
700232017,gp Motsweding Primary School
700251926,gp Swartkop Valley Farm Combined School
700311423,gp Ntsikana Primary School
700340018,gp Edenpark Primary School
700110593,gp Diodi Primary School
700251157,gp Weltevreden Park Primary School
700122002,gp Lakeview Primary School
700251975,gp Thembile Combined School
700911268,gp Modiselle Primary School
700330506,gp Milton Primary School
700251967,gp Thathezakho Lower Primary School
700250795,gp Nooitgedacht Nr 88 Primary School
700310078,gp Pioneer Primary School
700210849,gp Vhalliespark Primary School
700160093,gp Villa Liza Primary School
700400581,gp Bagale Primary School
700240309,gp Rachel de Beer Primary School
700340497,gp Chivirikani Primary School
700270710,gp Fjl Wells Mine Combined School
700241398,gp Tipfuxeni Primary School
700140764,gp Mangwele Primary School
700141069,gp Totomeng Primary School
700120105,gp Eldridge Primary School
700211060,gp Springvale Primary School
700310540,gp Putfontein Primary School
700160887,gp Delville Primary School
700310623,gp Brakpan Primary School
700251637,gp Maloneys Eye Farm Primary School
700231910,gp Makgwaraneng Primary School
700221085,gp Sindawonye Primary School
700400329,gp Olievenhoutbosch Primary School
700150110,gp Blairgowrie Primary School
700220426,gp Voorpos Primary School
700220053,gp Norridge Park Primary School
700270926,gp Mbulelo Combined School
700340968,gp Morojaneng Primary School
700911394,gp Mosaledi Primary School
700230813,gp Westerlig Primary School
700914035,gp Mokonyama Primary School (RAKOBO)
700260349,gp Chloorkop Primary School
700132878,gp Rutegang Primary School
700910139,gp Boikanyo Primary School (GA-RANKUWA)
700241505,gp Uthando Primary School
700230771,gp Bergsig Primary School
700240341,gp Vissershoek Primary School
700221218,gp Zamintuthuko Primary School
700400401,gp Sizuzile Primary School
700400086,gp Mshuluzane Mayisela Primary School
700912394,gp Phelang Special School (TEMBA)
700130500,gp Hillcrest Primary School
700311159,gp Js Malaza Primary School
700400151,gp Lakeside Estate Primary School
700320812,gp Modishu Lekashu Primary School
700251629,gp Makhoarane Primary School
700220871,gp Mononong Primary School
700121871,gp Winnie-Ngwekazi Primary School
700321356,gp Radipeu Farm Primary School
700133322,gp Zithathele Primary School
700341495,gp Vaaldam Farm Primary School
700221523,gp Vukauzenzele Primary School
700341404,gp Tshabalala Primary School
700231456,gp Transoranje School for the Deaf
700920778,gp Baweze Primary School
700330522,gp Pinedene Primary School
700230789,gp Boerefort Primary School
700130492,gp Berea Primary School
700140616,gp Js Mpanza Primary School
700910678,gp Tokyo Sexwale Primary School
700151126,gp Parkhurst Primary School
700311076,gp George Mbilase Primary School
700261149,gp Phuthumani Primary School
700240861,gp Kutung Primary School
700240671,gp Fanjan Farm Primary School
700351205,gp Umsobomvu Primary School
700331041,gp Michael Rua Farm Intermediate School
700321232,gp Phamehlo Primary School
700250738,gp Jozua Naude Primary School
700133371,gp Fordsburg Primary School
700250811,gp Protearif Primary School
700240903,gp Lindelani Primary School
700120881,gp Park Senior Primary School
700340224,gp Kenton Primary School
700133462,gp Uvuyo Primary School
700341206,gp Samson Primary School
700340570,gp Encochoyini Primary School
700260497,gp Norkem Park Primary School
700250746,gp Kenmare Primary School
700132282,gp Ikwezi Primary School (SOWETO)
700911707,gp Rakale Thabong Primary School
700911187,gp Merafeng Primary School
700400520,gp Mahube Valley Primary School
700140079,gp Noordgesig Primary School
700350520,gp Strubenvale Primary School
700220939,gp N'wa-Vangani Primary School
700400590,gp Orefile Primary School
700400586,gp Onkgopotse Tiro Primary School
700912016,gp Soshangaan Primary School
700211417,gp Foxtrot Farm Primary School
700131052,gp Norwood Primary School
700231019,gp Tuinrand Primary School
700250670,gp Generaal De la Rey Primary School
700251827,gp Sandile Combined School
700321422,gp Seeiso Primary School
700340109,gp Alberton Primary School
700400383,gp The Mossie Primary School
700111476,gp Zola Primary School
700331322,gp Sibonile School for the Blind
700350454,gp Selcourt Primary School
700150516,gp Glenhazel Primary School
700351049,gp Sakhelwe Primary School
700220566,gp Boikgantsho Primary School
700151548,gp Sharonlea Primary School
700240978,gp Mmabana Primary School
700230136,gp Alma Special School
700230185,gp Burgher Right Primary School
700321117,gp Mosioa Primary School
700130054,gp Hugenoot Primary School
700350603,gp Effort Farm Primary School
700120162,gp Goudpark Primary School
700210799,gp Rayton Primary School
700331306,gp Seipone Primary School
700350322,gp Tini Vorster Primary School
700150664,gp I R Griffith Primary School
700250969,gp Princess Primary School
700271064,gp Setholela Primary School
700140871,gp Palesa Primary School
700160077,gp Reiger Park Primary School
700161778,gp Fortune Kunene Primary School
700311597,gp Tshipi-Noto Primary School
700130179,gp Bertrams Junior Primary School
700240333,gp Uniefees Primary School
700140970,gp Thakhisa Primary School
700150243,gp Buccleuch Primary School
700320119,gp Kalabasfontein Primary School
